City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description,Rain (inches),Snow (inches)
273,Hibbing,47.43,-92.94,80.6,53,1,8.05,US,2020-06-28 16:17:39,clear sky,0.0,0.0
274,Lavrentiya,65.58,-171.0,38.88,81,41,9.24,RU,2020-06-28 16:17:39,scattered clouds,0.0,0.0
275,Flin Flon,54.77,-101.86,59.0,93,90,8.05,CA,2020-06-28 16:15:03,mist,0.0,0.0
276,Ambon,-3.7,128.18,79.0,14,100,6.33,ID,2020-06-28 16:17:39,light rain,0.17,0.0
277,Qui Nhon,13.77,109.23,82.8,76,100,4.36,VN,2020-06-28 16:17:39,overcast clouds,0.0,0.0
278,Aksha,50.28,113.29,60.21,89,100,0.27,RU,2020-06-28 16:17:39,overcast clouds,0.0,0.0
279,Fortuna,40.6,-124.16,57.99,82,90,12.75,US,2020-06-28 16:17:39,overcast clouds,0.0,0.0
280,Sawtell,-30.38,153.1,53.6,76,9,11.41,AU,2020-06-28 16:17:39,clear sky,0.0,0.0
281,Necochea,-38.55,-58.74,51.01,74,45,5.03,AR,2020-06-28 16:17:39,scattered clouds,0.0,0.0
282,Bengkulu,-3.8,102.27,78.03,87,40,6.06,ID,2020-06-28 16:17:39,light rain,0.31,0.0
283,Zhigalovo,54.81,105.16,59.74,88,71,1.05,RU,2020-06-28 16:17:39,broken clouds,0.0,0.0
284,Silver City,32.77,-108.28,77.0,36,1,18.34,US,2020-06-28 16:17:39,clear sky,0.0,0.0
285,Cehegin,38.09,-1.8,91.0,30,0,8.99,ES,2020-06-28 16:17:39,clear sky,0.0,0.0
286,Harper,4.38,-7.72,79.14,72,82,11.95,LR,2020-06-28 16:17:39,broken clouds,0.0,0.0
287,Pocoes,-14.53,-40.37,75.78,61,67,6.06,BR,2020-06-28 16:17:39,light rain,0.14,0.0
288,Moron,-34.65,-58.62,55.0,76,65,5.82,AR,2020-06-28 16:17:39,broken clouds,0.0,0.0
289,Zyryanskoye,56.83,86.63,56.88,65,100,8.43,RU,2020-06-28 16:17:39,overcast clouds,0.0,0.0
290,Priargunsk,50.37,119.1,61.07,63,94,3.24,RU,2020-06-28 16:17:39,overcast clouds,0.0,0.0
291,Rio Grande,-32.03,-52.1,59.0,62,0,2.24,BR,2020-06-28 16:17:27,clear sky,0.0,0.0
292,Raga,8.46,25.68,81.88,67,14,1.57,SS,2020-06-28 16:17:39,few clouds,0.0,0.0
293,Najran,17.49,44.13,96.8,18,40,11.41,SA,2020-06-28 16:17:39,scattered clouds,0.0,0.0
294,Yaring,6.87,101.37,82.4,94,75,4.7,TH,2020-06-28 16:17:39,thunderstorm,0.0,0.0
295,Belaya Gora,68.53,146.42,59.34,51,79,7.81,RU,2020-06-28 16:17:40,broken clouds,0.0,0.0
296,Locri,38.24,16.26,82.4,54,0,6.93,IT,2020-06-28 16:17:40,clear sky,0.0,0.0
297,Neiafu,-18.65,-173.98,77.0,88,75,9.17,TO,2020-06-28 16:17:40,broken clouds,0.0,0.0
298,Erzin,36.96,36.2,78.01,88,0,5.99,TR,2020-06-28 16:17:40,clear sky,0.0,0.0
299,Muriwai Beach,-36.82,174.45,48.0,91,16,5.01,NZ,2020-06-28 16:17:40,light rain,0.31,0.0
300,Zima,53.92,102.04,61.84,94,32,6.87,RU,2020-06-28 16:17:40,light rain,0.82,0.0
301,Takoradi,4.88,-1.76,78.57,84,59,13.49,GH,2020-06-28 16:17:40,light rain,0.5,0.0
302,Klaksvik,62.23,-6.59,55.4,93,96,18.34,FO,2020-06-28 16:16:45,overcast clouds,0.0,0.0
303,Tahta,26.77,31.5,100.4,13,0,16.11,EG,2020-06-28 16:17:40,clear sky,0.0,0.0
304,Iraquara,-12.25,-41.62,80.02,40,12,9.6,BR,2020-06-28 16:17:40,few clouds,0.0,0.0
305,Mega,4.05,38.3,65.43,62,6,9.35,ET,2020-06-28 16:17:40,clear sky,0.0,0.0
306,Haian,32.54,120.45,77.0,92,100,3.0,CN,2020-06-28 16:17:40,moderate rain,1.19,0.0
307,Edmundston,47.37,-68.33,69.8,73,90,4.29,CA,2020-06-28 16:17:40,overcast clouds,0.0,0.0
308,Tamiahua,21.27,-97.45,84.74,73,77,10.87,MX,2020-06-28 16:17:40,broken clouds,0.0,0.0
309,Conakry,9.54,-13.68,87.8,70,40,11.41,GN,2020-06-28 16:15:27,scattered clouds,0.0,0.0
310,Jining,35.41,116.58,73.31,77,100,6.33,CN,2020-06-28 16:17:40,light rain,0.18,0.0
311,Bilma,18.69,12.92,104.31,7,0,7.31,NE,2020-06-28 16:17:40,clear sky,0.0,0.0
312,Narsaq,60.92,-46.05,55.4,54,81,11.41,GL,2020-06-28 16:16:49,broken clouds,0.0,0.0
313,Kijang,35.24,129.21,75.2,69,13,1.12,KR,2020-06-28 16:17:40,few clouds,0.0,0.0
314,Pictou,45.68,-62.72,69.01,87,100,6.49,CA,2020-06-28 16:15:03,light rain,0.47,0.0
315,Qaqortoq,60.72,-46.03,55.4,54,70,11.41,GL,2020-06-28 16:17:41,broken clouds,0.0,0.0
316,Sohag,26.56,31.69,100.4,13,0,16.11,EG,2020-06-28 16:14:29,clear sky,0.0,0.0
317,Kudat,6.88,116.85,82.4,83,75,4.7,MY,2020-06-28 16:17:41,broken clouds,0.0,0.0
318,Norman Wells,65.28,-126.83,57.2,62,20,6.93,CA,2020-06-28 16:16:48,few clouds,0.0,0.0
319,Champerico,14.3,-91.92,86.0,70,40,6.93,GT,2020-06-28 16:17:41,scattered clouds,0.0,0.0
320,Huarmey,-10.07,-78.15,68.74,66,35,10.09,PE,2020-06-28 16:17:41,scattered clouds,0.0,0.0
321,Kamaishi,39.27,141.88,61.84,89,9,5.3,JP,2020-06-28 16:17:41,clear sky,0.0,0.0
322,Bastrop,32.76,-91.87,87.8,70,75,9.17,US,2020-06-28 16:17:41,broken clouds,0.0,0.0
323,Ayan,56.45,138.17,45.43,89,0,1.88,RU,2020-06-28 16:17:41,clear sky,0.0,0.0
324,Okitipupa,6.5,4.78,76.12,94,100,3.44,NG,2020-06-28 16:17:41,light rain,0.87,0.0
325,Chunoyar,57.45,97.32,66.83,81,100,2.64,RU,2020-06-28 16:17:41,light rain,0.21,0.0
326,Kahului,20.89,-156.47,73.0,73,1,5.82,US,2020-06-28 16:14:59,clear sky,0.0,0.0
327,Mount Isa,-20.73,139.5,60.8,48,0,5.82,AU,2020-06-28 16:17:41,clear sky,0.0,0.0
